iter	Accuracy	MultiClass
342	0.8923976608	0.2750901402
343	0.8922677063	0.2749276605
344	0.8922677063	0.2748534481
345	0.8922677063	0.274787243
346	0.8923976608	0.2747183882
347	0.8923976608	0.2746669691
348	0.8923976608	0.2745785921
349	0.8923976608	0.2745294551
350	0.8923976608	0.2743528544
351	0.8923976608	0.2743451445
352	0.8923976608	0.2742025331
353	0.8923976608	0.2740955193
354	0.8923976608	0.2740164498
355	0.8923976608	0.2738616301
356	0.8923976608	0.2735931693
357	0.8925276153	0.2733799404
358	0.8925276153	0.2733269485
359	0.8925276153	0.2731784776
360	0.8925276153	0.2729498833
361	0.8927875244	0.2727176895
362	0.8926575699	0.2726701339
363	0.8926575699	0.2725491571
364	0.8926575699	0.2725275671
365	0.8930474334	0.2724086523
366	0.8931773879	0.2723485088
367	0.8935672515	0.2722155926
368	0.8934372969	0.2721893937
369	0.8934372969	0.2721225473
370	0.8934372969	0.2719417614
371	0.893697206	0.2718747207
372	0.8935672515	0.2718132456
373	0.893957115	0.2716740297
374	0.893697206	0.2715807606
375	0.893697206	0.2714427345
376	0.893697206	0.2714194377
377	0.8935672515	0.2713053395
378	0.8935672515	0.2712068495
379	0.893697206	0.2710521885
380	0.8935672515	0.2709324642
381	0.893697206	0.2708209918
382	0.893957115	0.2705412052
383	0.893957115	0.2704918623
384	0.8938271605	0.2704184819
385	0.8938271605	0.2703006365
386	0.8938271605	0.2702656189
387	0.8934372969	0.2701055562
388	0.8933073424	0.2699924165
389	0.8933073424	0.269914177
390	0.8931773879	0.2698725853
391	0.8933073424	0.269768552
392	0.8934372969	0.2696213477
393	0.8934372969	0.269552898
394	0.8933073424	0.2695275869
395	0.8934372969	0.2694786853
396	0.8935672515	0.2692816428
397	0.893957115	0.2691366299
398	0.8943469786	0.2689115225
399	0.8943469786	0.2686703573
400	0.8940870695	0.2684624489
401	0.894217024	0.2684157024
402	0.8943469786	0.2683752583
403	0.8943469786	0.2682582769
404	0.8940870695	0.2681854398
405	0.8943469786	0.268002895
406	0.8946068876	0.2678635616
407	0.8944769331	0.2678429818
408	0.8946068876	0.2677004512
409	0.8944769331	0.2676425773
410	0.8944769331	0.2676203009
411	0.8944769331	0.2675275651
412	0.8946068876	0.2674548614
413	0.8946068876	0.2673674406
414	0.8947368421	0.2671966662
415	0.8946068876	0.2671379473
416	0.8948667966	0.2669691931
417	0.8948667966	0.266862671
418	0.8948667966	0.2667199559
419	0.8947368421	0.2666340731
420	0.8948667966	0.2665307297
421	0.8947368421	0.2664085351
422	0.8951267057	0.2663031699
423	0.8951267057	0.2662430689
424	0.8952566602	0.266046498
425	0.8949967511	0.2659643345
426	0.8949967511	0.2659085317
427	0.8951267057	0.2657341197
428	0.8951267057	0.2657038805
429	0.8951267057	0.2656966592
430	0.8951267057	0.2656103206
431	0.8951267057	0.2655765162
432	0.8952566602	0.2655475466
433	0.8953866147	0.2654570802
434	0.8953866147	0.2653789031
435	0.8953866147	0.2653306716
436	0.8956465237	0.2652007376
437	0.8957764782	0.2651247216
438	0.8957764782	0.2650169323
439	0.8959064327	0.2649860718
440	0.8960363873	0.2648577456
441	0.8959064327	0.2648349108
442	0.8955165692	0.2647524423
443	0.8955165692	0.2646614303
444	0.8955165692	0.2646321393
445	0.8957764782	0.2644145767
446	0.8956465237	0.2643019104
447	0.8955165692	0.2642356387
448	0.8956465237	0.2641651335
449	0.8957764782	0.264076704
450	0.8959064327	0.2640255066
451	0.8959064327	0.2639514816
452	0.8960363873	0.2638610169
453	0.8962962963	0.2638187325
454	0.8960363873	0.2636979354
455	0.8961663418	0.263661585
456	0.8960363873	0.2636289339
457	0.8961663418	0.2635766961
458	0.8964262508	0.2634078975
459	0.8961663418	0.2632599179
460	0.8961663418	0.2631723131
461	0.8965562053	0.2631148537
462	0.8965562053	0.2630394989
463	0.8965562053	0.2629858087
464	0.8968161144	0.2629315542
465	0.8966861598	0.2628402788
466	0.8968161144	0.2627874104
467	0.8968161144	0.2627648462
468	0.8965562053	0.2626550806
469	0.8965562053	0.2625547786
470	0.8966861598	0.2625155622
471	0.8966861598	0.2624327696
472	0.8966861598	0.2624152017
473	0.8968161144	0.2622147318
474	0.8968161144	0.2621911308
475	0.8970760234	0.2621287868
